1,7,44,Party Utensils,ภาชนะใช้แล้วทิ้ง
1,7,45,Eating Utensils,ภาชนะทานอาหาร
1,7,46,Plastic bags / Elastic / Zipped bag,ถุงพลาสติก / หนังยาง / ถุงซิป / ฟิล์มถนอมอาหาร
1,7,47,Cooking Utensils,อุปกรณ์ประกอบอาหาร
1,7,48,Table Utensils,เครื่องใช้บนโต๊ะอาหาร
1,8,49,Sponge,ฝอย / ฟองน้ำ / แปรงขัด
1,8,50,Garbage Bag,ถุงขยะ / ถังขยะ
1,8,51,Basket,ถัง / กะละมัง / ตะกร้า
1,8,52,Broom / Dust Pan and brushes,ไม้กวาด /ที่โกยผง / แปรงปัดฝุ่น
1,8,53,Mop / Spin Mop,ไม้ถูพื้น
1,8,54,Others,อื่นๆ
1,9,55,Powder Detergent,ผงซักฟอก
1,9,56,Laundry Detergent,น้ำยาซักผ้า
1,9,57,Fabric Softener,น้ำยาปรับผ้านุ่ม
1,9,58,Easy Ironing,น้ำยารีดผ้าเรียบ
1,9,59,Bleach / Stain Removal,น้ำยาฟอก / น้ำยาขจัดคราบ
1,9,60,Iron board,โต๊ะและอุปกรณ์รีดผ้า
1,9,61,Clothes dryer / Hanger,อุปกรณ์สำหรับตากผ้า
1,9,62,Others Laundry,อุปกรณ์ซักรีดอื่นๆ
1,10,63,Air Refresher,ผลิตภัณฑ์ปรับอากาศภายในบ้าน
1,10,64,Insect Killer,ผลิตภัณฑ์กำจัดแมลงและสัตว์
1,10,65,Other household,อื่นๆ
1,11,66,Toilet Roll,กระดาษชำระ
1,11,67,Facial Tissues,กระดาษเช็ดหน้า
1,11,68,Wet wipes,ทิชชู่เปียก / ผ้าเย็น
1,12,69,Floor care,ผลิตภัณฑ์ทำความสะอาดพื้น/พรม
1,12,70,Mirror & Glass stain remover,น้ำยาเช็ดกระจก
1,12,71,All cleaner,น้ำยาฆ่าเชื้อและเอนกประสงค์
1,12,72,Toilet Bowl Cleaner,น้ำยาทำความสะอาดห้องน้ำ
1,12,73,Drain Declogger,ผลิตภัณฑ์ขจัดท่ออุดตัน
1,12,74,Dish Washer,น้ำยาล้างจาน
1,13,75,Bedding sheet / set / Blanket,เครื่องนอนและผ้าห่ม
1,13,76,Towel,ผ้าขนหนู
1,14,77,Wardrobe / Chairs / Sofa,ตู้เสื้อผ้า / เก้าอี้ / โซฟา
1,14,78,Shelf / Display Shelf / Shoe Shelf,ตู้โชว์ / ชั้นวาง /ชั้นวางรองเท้า
1,14,79,Plastic Storage,กล่องพลาสติก
1,15,80,Power tools,เครื่องมือช่าง
1,15,81,Power Socket / Adapter,ปลั๊กไฟ
1,15,82,Battery / Flashlight,ถ่าน / ไฟฉาย
1,15,83,Cable / Lightning,สายไฟ / หลอดไฟ และอุปกรณ์ไฟฟ้าอื่นๆ
1,15,84,Garden & Outdoor,อุปกรณ์ตกแต่งสวน
2,16,85,Freezer,ตู้แช่แข็ง / ตู้แช่เบียร์วุ้น / ตู้แช่ไวน์
2,16,86,Washing Machine / Dryer,เครื่องซักผ้า / อบผ้า
2,16,87,Refrigerator,ตู้เย็น
2,16,88,Air Con,เครื่องปรับอากาศ
2,16,89,Water Heater,เครื่องทำน้ำอุ่น
2,16,90,Vacuum Cleaner,เครื่องดูดฝุ่น
2,16,91,Induction,เตาแก๊ส / เตาไฟฟ้า / เตาแม่เหล็ก
2,17,92,Electric Pan,กระทะไฟฟ้า
2,17,93,Electric Kettles,กาน้ำไฟฟ้า
2,17,94,Blender / Food extractor,เครื่องปั่น
2,17,95,Microwave / Oven,เตาอบ / ตู้อบ
2,17,96,Rice Cooker,หม้อหุงข้าว
2,17,97,Sandwich / Coffee maker,เครื่องทำแซนวิช / เครื่องทำกาแฟ
2,18,98,Hair Dryer,เครื่องเป่าผม
2,18,99,Water Purifier,เครื่องกรองน้ำ
2,18,100,Fan,พัดลม
2,18,101,Iron,เตารีด
2,19,102,Smart Phone,สมาร์ทโฟน
2,19,103,Tablet,แท้บเล็ต
2,19,104,Powerbank,แบตเตอรี่สำรอง
2,20,105,T.V.,โทรทัศน์
2,20,106,Audio / Home Theater / Speaker,เครื่องเสียง / ลำโพง / โฮมเทียเตอร์
2,20,107,T.V. acessories,อุปกรณ์เสริมทีวี
3,21,108,Drinking water,น้ำดื่ม
3,21,109,Mineral Water,น้ำแร่
3,22,110,Herbal Drink,เครื่องดื่มสมุนไพร
3,22,111,100% fruit/veggie juice,น้ำผักผลไม้แท้ 100%
3,22,112,Economy&Medium Fruit/Vegetable Juice,น้ำผักผลไม้ผสม
3,22,113,Concentrated Juice,น้ำผักผลไม้เข้มข้น
3,22,114,Others,อื่นๆ
3,23,115,UHT / Sterilized Milk,นม UHT / นมเสตอริไลซ์
3,23,116,Soy Bean Milk,นมถั่วเหลือง
3,23,117,UHT Yogurt,นมเปรี้ยว
3,24,118,Instant / Ready to drink coffee,กาแฟสำเร็จรูป / กาแฟพร้อมดื่ม
3,24,119,Roast / Ground coffee,กาแฟคั่ว
3,24,120,Coffee sugar,น้ำตาล / น้ำตาลเชื่อม
3,24,121,Coffee cream,ครีมเทียม
3,25,122,Tea / Tea Leaves,ผงชา / ใบชา
3,25,123,Ready to drink tea,ชาพร้อมดื่ม
3,25,124,Others,ชาอื่นๆ
3,26,125,Soda / Mixer,โซดา / มิกเซอร์
3,26,126,Soft Drink,น้ำอัดลม
3,26,127,Concentrated sweet drink,น้ำหวาน
3,27,128,Chicken essense / Mushroom extract,ซุปไก่/เห็ด สกัด
3,27,129,Herbal / Condensed juice,สมุนไพร / น้ำผักผลไม้
3,27,130,Birdnest / Ginseng,รังนก/โสม
3,27,131,Energy drink,เครื่องดื่มเกลือแร่ชูกำลัง
3,27,132,Collagen / Vitamin / Fiber drink,เครื่องดื่มผสมคอลลาเจน/วิตามินใยอาหาร
3,28,133,Herbal drink / Cereal drink,เครื่องดื่มธัญญาหารสำเร็จรูป
3,28,134,Chocolate / coco / Malt drink,เครื่องดื่มช้อคโกแลต / โกโก้ / มอลต์
4,29,135,Chips,มันฝรั่งทอดกรอบ
4,29,136,Snack,ขนมอบ-ทอกกรอบ
4,29,137,Crackers,ข้าวเกรียบ
4,29,138,Snack Fish,ปลาเส้น
4,29,139,Seasoned Seaweed,สาหร่ายปรุงรส
4,29,140,Popcorn,ข้าวโพดคั่ว
4,29,141,Seasoned Squid,ปลาหมึกปรุงรส
4,29,142,Seasoned Fish Strip,ปลาแผ่นปรุงรส
4,29,143,Seasoned Beans,ถั่วอบกรอบ
4,30,144,Chocolate,ช้อคดกแลต
4,30,145,Sweet,ลูกอม
4,30,146,Bubble gums,หมากฝรั่ง
4,30,147,Refresher,ลูกอมเพื่อลมหายใจสดชื่น
4,30,148,Gelatin / Fruit Gummy,เจลาติน / หมากฝรั่งกลิ่นผลไม้
4,31,149,Pie,พาย
4,31,150,Wafer,เวเฟอร์
4,31,151,Crackers,แครกเกอร์
4,31,152,Cookie,คุกกี้-คุกกี้สอดไส้
4,31,153,Biscuit,บิสกิต-ขนมปังกรอบ
5,32,154,Copy paper,กระดาษเอกสาร
5,32,155,Storage Folder,แฟ้ม / ซองเอกสาร
5,32,156,Note book,สมุดโน้ต
5,33,157,Glue / Tape / Tape Holder,กาว /เทป / แท่นเทป
5,33,158,"Scissor / Cutter / Cutter Blade, Mat",กรรไกร / คัตเตอร์ / ใบมีด / แผ่นรองตัด
5,33,159,Binder / Clips,อุปกรณ์เย็บ / เจาะ / หนีบ
5,34,160,Table / Cabinet,โต๊ะ / ตู้
5,35,161,Pen / Ink / Refill ink,ปากกา / ไส้ปากกา / หมึกเติม
5,35,162,Correction Fluid,ผลิตภัณฑ์ลบคำผิด
5,35,163,Marker / White Board,ปากกาเน้นข้อความ / ไวท์บอร์ด
5,35,164,Pencil / Rubber / Sharpener,ดินสอ / ไส้ดินสอ / ยางลบ / กบเหลาดินสอ
5,35,165,Ruler / Tape Measure,ไม้บรรทัด / ไม้วัด
6,36,166,Fragrant Rice,ข้าวหอม
6,36,167,Brown Rice,ข้าวไม่ขัดสี
6,36,168,Sticky Rice,ข้าวเหนียว
6,36,169,Organic,ข้าวออแกนิค
6,36,170,Grain / Herb / Dried Fruit,ธัญพืช สมุนไพร ผลไม้อบแห้ง
6,36,171,Jasmine Rice,ข้าวหอมมะลิ
6,37,172,Chili Paste Ingredients&Sauces/Coconut Milk,น้ำพริก-พริกแกง-กะทิ
6,37,173,Bouillon/Flavored Seasoning,ซุปก้อน-ผงชูรส-ผงปรุงรส
6,37,174,Salt/Pepper/Chili/Seasoning Mixed Spice,เกลือ-พริกป่น-พริกไทย-เครื่องเทศ
6,37,175,Soy Sauce/Soy Bean Paste,ซอสถั่วเหลือง-ซีอิ๊ว-เต้าเจี้ยว
6,37,176,Chili/Tomato Sauce,ซอสพริก-ซอสมะเขือเทศ
6,37,177,Oyster Sauce,ซอสหอยนางรม
6,37,178,Spaghetti Sauce,ซอสสปาเก็ตตี้
6,37,179,Sugar,น้ำตาล
6,37,180,Fish Sauce,น้ำปลา
6,37,181,Vinegar,น้าส้มสายชู
6,37,182,Other Sauce,ซอสอื่นๆ
6,38,183,Soy Bean Oil,น้ำมันถั่วเหลือง
6,38,184,Palm Oil,น้ำมันปาล์ม
6,38,185,Oilive/Sesame Oil,น้ำมันมะกอก-งา
6,38,186,Corn/Sunflower/Rice Bran Oil,น้ำมันข้าวโพด-ดอกทานตะวัน-รำข้าว
6,38,187,Others Oil,น้ำมันอื่นๆ
6,39,188,Canned Soup,ซุปกระป๋อง
6,39,189,Canned Meat,เนื้อสัตว์กระป๋อง
6,39,190,Canned Fish/Seafood,ปลา-อาหารทะเลกระป๋อง
6,39,191,Canned Bean/Vegetable,ถั่ว-ผักกระป๋อง
6,39,192,Canned Fruits,ผลไม้กระป๋อง
6,39,193,Others Canned Food,อาหารกระป๋องสำเร็จรูปอื่นๆ
6,40,194,Instant Noodle,บะหมี่กึ่งสำเร็จรูป
6,40,195,Instant Porridge,โจ๊ก-ข้าวต้มกึ่งสำเร็จรูป
6,40,196,Instant Soup,ซุปกึ่งสำเร็จรูป
6,41,197,Vermicelli,วุ้นเส้น
6,41,198,Noodles,เส้นก๋วยเตี๋ยว
6,41,199,Pasta/Spagetti/Macaroni,เส้นพาสต้า-สปาเก็ตตี้-มักกะโรนี
6,41,200,Others Noodle,เส้นที่ทำจากแป้งอื่นๆ
6,42,201,Cereal/Muesli/Oatmeal,ซีเรียล-มูสลี่-ข้าวโอ๊ต
6,42,202,Jam/Butter/Magarine/Honey,แยม-เนย-มาการีน-น้ำผึ้ง
6,42,203,Creamy Peanut Butter/Chocolate Spread,เนยถั่ว-ครีมทาขนมปังรสช็อตโกแลต
6,42,204,Salad Cream,น้ำสลัด-ครีมสลัด
6,42,205,Mustard/Wasabi,มัสตาด-วาซาบิ
6,42,206,Mayonnaise/Sandwich Spread,มายองเนส-แซนวิสสเปรด
6,43,207,Flour,แป้งทำขนมและอาหาร
6,43,208,Baking Aids,ผงฟู-เบกกิ้งโซดา-กลิ่นสำเร็จรูป
6,43,209,Jelly/Gelatin,ผงวุ้น-เจลาติน
6,43,210,Baking Sugar,น้ำตาล-สารให้ความหวาน-น้ำเชื่อม
