1,7,Ingredient / Material for Coffee,วัตถุดิบสำหรับทำกาแฟ
1,8,Coffee Equipment ,อุปกรณ์ชงกาแฟ
1,9,Coffee Cup / Plate & Straw,ถ้วยกาแฟ แก้วกาแฟ จานรอง หลอด
1,10,Coffee Freezer / Chiller,ตู้แช่สำหรับร้านกาแฟ
1,11,Drinking Bar,ค็อกเทล บาร์น้ำ
1,12,Furniture / Accessories,เฟอร์นิเจอร์และของตกแต่งร้าน
1,13,Barista Uniform,ชุดบาริสต้า
1,14,Other Equipment,อุปกรณ์เบ็ดเตล็ด
1,15,Cash Calculate Equipment,อุปกรณ์สำหรับคิดเงิน
1,16,CCTV Camera,กล้องวงจรปิด
1,17,Warewashing,อุปกรณ์ล้างภาชนะ
1,18,Cleanning Equipment,อุปกรณ์ทำความสะอาด
1,19,Food Truck / Kiosk,รถกาแฟเคลื่อนที่/ คีออส ร้านกาแฟ
1,20,Coffee Solution Set,ชุดเปิดร้านกาแฟ
2,21,Beverage,เครื่องดื่ม
2,22,Snack & Sweets,ขนมขบเคี้ยวและลูกอม
2,23,Dry Food / Dry Groceries,อาหารแห้ง
2,24,Households,ของใช้ในครัวเรือน
2,25,"Office equipment & 
Stationaries","เครื่องเขียนและอุปกรณ์
สำนักงาน"
2,26,Minimart Freezer/Chiller,ตู้แช่สำหรับร้านมินิมาร์ท
2,27,Cash Calculate Equipment,อุปกรณ์สำหรับคิดเงิน
2,28,Shelf / Counter,ชั้นวางสินค้า/เคาน์เตอร์
2,29,Cart / Shopping Basket,รถเข็น/ตะกร้าช็อปปิ้ง
2,30,Ice Maker / Water Filter,เครื่องทำน้ำแข็ง/เครื่องกรองน้ำ
2,31,"Beverage & Food Corner 
Equipment","อุปกรณ์สำหรับมุมเครื่องดื่ม
และอาหาร"
2,32,CCTV Camera,กล้องวงจรปิด
2,33,Minimart Set,จัดเซ็ทเปิดร้านมินิมาร์ท
3,34,Guest Room/Bath Room,ของใช้ในห้องพัก / ห้องอาบน้ำ โรงแรม
3,35,Hotel Amenity,เครื่องใช้สำหรับอาบน้ำ
3,36,Lobby/Meeting Room,ล็อบบี้ และ ห้องสัมมนา โรงแรม
3,37,Trolley,รถเข็น โรงแรม
3,38,Buffetware,อุปกรณ์บุฟเฟ่ต์
3,39,Ingredient / Material for Cooking,วัตถุดิบสำหรับทำอาหาร
3,40,Cooking Ingredients,เครื่องปรุงสำหรับทำอาหาร
3,41,Kitchen Utensil,อุปกรณ์ในครัว
3,42,Food Preparation,อุปกรณ์สำหรับเตรียมอาหาร
3,43,Cooker,อุปกรณ์ทำอาหาร
3,44,Warming Equipment,อุปกรณ์อุ่นอาหาร
3,45,Tableware,อุปกรณ์บนโต๊ะอาหาร
3,46,Disposable,อุปกรณ์ใช้แล้วทิ้ง
3,47,Beverage Equipment,อุปกรณ์สำหรับเครื่องดื่ม
3,48,Snack& Beverage,อาหารว่างและเครื่องดื่ม
3,49,Restaurant Furniture/Accessories,เฟอร์นิเจอร์สำหรับร้านอาหาร / อุปกรณ์ตกแต่ง
3,50,Hotel Freezer/Chiller,ตู้แช่สำหรับโรงแรม
3,51,Cash Calculate Equipment,อุปกรณ์สำหรับคิดเงิน
3,52,CCTV Camera,ชุดกล้องวงจรปิด
3,53,Medicine & First Aid,ยาสามัญประจำบ้านและอุปกรณ์ปฐมพยาบาล
3,54,Warewashing,อุปกรณ์ล้างภาชนะ
3,55,Cleanning Equipment,อุปกรณ์ทำความสะอาด
4,56,Ingredient / Material for Cooking,วัตถุดิบสำหรับทำอาหาร
4,57,Cooking Ingredients,เครื่องปรุงสำหรับทำอาหาร
4,58,Kitchen Utensil,อุปกรณ์ในครัว
4,59,Food Preparation,อุปกรณ์สำหรับเตรียมอาหาร
4,60,Cooker,อุปกรณ์ทำอาหาร
4,61,Warming Equipment,อุปกรณ์อุ่นอาหาร
4,62,Tableware,อุปกรณ์บนโต๊ะอาหาร
4,63,Disposable,อุปกรณ์ใช้แล้วทิ้ง
4,64,Restaurant Furniture/Accessories,เฟอร์นิเจอร์สำหรับร้านอาหาร / อุปกรณ์ตกแต่ง
4,65,Restaurant Freezer / Chiller,ตู้แช่สำหรับร้านอาหาร
4,66,Beverage,เครื่องดื่ม
4,67,Electric for Beverage,อุปกรณ์ไฟฟ้าสำหรับเครื่องดื่ม
4,68,Food Model,โมเดลจำลองอาหาร
4,69,Chef Uniform,ชุดเชฟ
4,70,Cash Calculate Equipment,อุปกรณ์สำหรับคิดเงิน
4,71,CCTV Camera,กล้องวงจรปิด
4,72,Warewashing,อุปกรณ์ล้างภาชนะ
4,73,Cleanning Equipment,อุปกรณ์ทำความสะอาด
4,74,Kiosk / Foodtruck,คีออส/รถขายอาหารเคลื่อนที่
4,75,Makro Food Shop Solution,เปิดธุรกิจร้านอาหารกับ Makro
5,76,Paper,ผลิตภัณฑ์กระดาษ
5,77,Stationery,เครื่องเขียน
5,78,Miscellaneous Equipment,อุปกรณ์สำนักงานเบ็ดเตล็ด
5,79,Packaging Equipment,กาว เทป และวัสดุเพื่อการบรรจุ
5,80,File& Storage,แฟ้มและอุปกรณ์จัดเก็บเอกสาร
